Source: http://www.natesholdem.com/pre-flop-odds.php,,,,,,,,,
Hold,2p,3p,4p,5p,6p,7p,8p,9p,10p
T4o,0.434,0.264,0.187,0.143,0.115,0.095,0.081,0.070,0.062
T3s,0.455,0.293,0.220,0.178,0.151,0.132,0.118,0.107,0.098
T3o,0.424,0.255,0.180,0.137,0.110,0.091,0.078,0.068,0.060
T2s,0.447,0.285,0.214,0.174,0.148,0.130,0.116,0.105,0.097
T2o,0.415,0.247,0.173,0.132,0.106,0.088,0.075,0.066,0.058
99,0.721,0.535,0.411,0.326,0.266,0.224,0.194,0.172,0.156
98s,0.511,0.360,0.285,0.236,0.202,0.178,0.159,0.145,0.134
98o,0.484,0.329,0.251,0.201,0.166,0.142,0.123,0.109,0.099
97s,0.495,0.342,0.268,0.221,0.189,0.166,0.149,0.136,0.125
97o,0.467,0.309,0.231,0.184,0.151,0.128,0.111,0.098,0.088
96s,0.477,0.323,0.249,0.204,0.174,0.153,0.137,0.124,0.114
96o,0.449,0.288,0.212,0.166,0.135,0.114,0.098,0.087,0.078
95s,0.459,0.304,0.232,0.188,0.160,0.139,0.124,0.113,0.103
95o,0.429,0.267,0.192,0.148,0.120,0.100,0.085,0.074,0.066
94s,0.438,0.284,0.213,0.173,0.146,0.127,0.113,0.103,0.094
94o,0.407,0.246,0.173,0.132,0.105,0.087,0.073,0.064,0.056
93s,0.432,0.278,0.208,0.168,0.143,0.125,0.111,0.101,0.092
93o,0.399,0.239,0.167,0.127,0.101,0.083,0.071,0.061,0.054
92s,0.423,0.270,0.202,0.164,0.139,0.122,0.109,0.099,0.091
92o,0.389,0.229,0.160,0.121,0.096,0.080,0.068,0.059,0.052
88,0.691,0.499,0.375,0.294,0.240,0.203,0.177,0.158,0.144
87s,0.482,0.339,0.266,0.220,0.189,0.167,0.150,0.137,0.127
87o,0.455,0.306,0.232,0.185,0.154,0.131,0.115,0.103,0.093
86s,0.465,0.320,0.250,0.206,0.176,0.156,0.141,0.129,0.119
86o,0.436,0.286,0.213,0.169,0.139,0.118,0.104,0.092,0.083
85s,0.448,0.302,0.232,0.191,0.163,0.143,0.129,0.118,0.109
85o,0.417,0.265,0.194,0.152,0.124,0.105,0.091,0.081,0.073
84s,0.427,0.281,0.214,0.174,0.148,0.130,0.117,0.106,0.098
84o,0.396,0.244,0.175,0.134,0.108,0.090,0.078,0.068,0.061
83s,0.408,0.263,0.198,0.160,0.136,0.119,0.107,0.097,0.089
83o,0.375,0.224,0.157,0.119,0.095,0.079,0.067,0.058,0.051
82s,0.403,0.258,0.194,0.157,0.133,0.117,0.105,0.096,0.088
82o,0.368,0.217,0.151,0.114,0.091,0.075,0.064,0.056,0.049
77,0.662,0.464,0.344,0.268,0.219,0.186,0.164,0.148,0.137
76s,0.457,0.320,0.251,0.208,0.180,0.159,0.144,0.132,0.123
76o,0.427,0.285,0.215,0.171,0.142,0.122,0.108,0.096,0.088
75s,0.438,0.301,0.234,0.194,0.167,0.148,0.134,0.123,0.114
75o,0.408,0.265,0.197,0.155,0.128,0.110,0.097,0.087,0.079
74s,0.418,0.282,0.217,0.179,0.153,0.135,0.122,0.112,0.104
74o,0.386,0.245,0.179,0.139,0.114,0.097,0.085,0.076,0.068
73s,0.400,0.263,0.200,0.164,0.140,0.123,0.111,0.101,0.093
73o,0.366,0.224,0.160,0.123,0.099,0.084,0.072,0.064,0.057
72s,0.381,0.245,0.184,0.150,0.128,0.112,0.101,0.092,0.085
72o,0.346,0.204,0.142,0.107,0.086,0.072,0.061,0.054,0.048
66,0.633,0.432,0.315,0.245,0.201,0.173,0.154,0.140,0.131
65s,0.432,0.302,0.237,0.197,0.170,0.152,0.138,0.127,0.119
65o,0.401,0.267,0.200,0.159,0.133,0.115,0.102,0.092,0.085
64s,0.414,0.285,0.221,0.184,0.159,0.142,0.129,0.119,0.111
64o,0.380,0.247,0.182,0.144,0.120,0.103,0.092,0.083,0.076
63s,0.394,0.265,0.204,0.168,0.145,0.129,0.117,0.108,0.100
63o,0.359,0.227,0.164,0.128,0.106,0.091,0.080,0.072,0.065
62s,0.375,0.248,0.188,0.154,0.133,0.118,0.107,0.098,0.091
62o,0.340,0.207,0.146,0.112,0.091,0.078,0.068,0.060,0.054
55,0.603,0.401,0.288,0.224,0.185,0.160,0.144,0.132,0.123
54s,0.411,0.288,0.226,0.189,0.165,0.148,0.135,0.125,0.117
54o,0.379,0.252,0.188,0.150,0.126,0.110,0.098,0.089,0.082
53s,0.393,0.271,0.211,0.175,0.152,0.137,0.125,0.116,0.108
53o,0.358,0.233,0.171,0.136,0.114,0.099,0.088,0.080,0.073
52s,0.375,0.253,0.195,0.161,0.140,0.125,0.114,0.106,0.098
52o,0.339,0.213,0.153,0.120,0.100,0.086,0.076,0.068,0.062
44,0.570,0.368,0.263,0.206,0.173,0.152,0.139,0.129,0.121
43s,0.380,0.262,0.203,0.169,0.147,0.131,0.120,0.111,0.103
43o,0.344,0.223,0.163,0.128,0.107,0.093,0.083,0.075,0.068
42s,0.363,0.246,0.188,0.157,0.137,0.123,0.112,0.104,0.096
42o,0.325,0.205,0.147,0.115,0.095,0.083,0.073,0.066,0.060
33,0.537,0.335,0.239,0.190,0.162,0.146,0.135,0.126,0.120
32s,0.351,0.236,0.180,0.149,0.130,0.117,0.107,0.099,0.092
32o,0.312,0.195,0.139,0.108,0.089,0.077,0.068,0.061,0.056
22,0.503,0.307,0.220,0.178,0.155,0.142,0.133,0.125,0.120
